01-May-2022 18:13:49.221953,BUY_SELL_SELL, POWR/USDT,POWR/BTC,BTC/USDT,-0.131
01-May-2022 18:13:52.124912,BUY_BUY_SELL, BTC/USDT,XRP/BTC,XRP/USDT,-0.035
01-May-2022 18:13:54.995609,BUY_SELL_SELL, XRP/USDT,XRP/BTC,BTC/USDT,-0.023
01-May-2022 18:13:57.889855,BUY_BUY_SELL, BTC/USDT,ENJ/BTC,ENJ/USDT,-0.071
01-May-2022 18:14:01.693662,BUY_SELL_SELL, ENJ/USDT,ENJ/BTC,BTC/USDT,0.086
01-May-2022 18:14:04.599900,BUY_BUY_SELL, BTC/USDT,STORJ/BTC,STORJ/USDT,-0.19
01-May-2022 18:14:07.485585,BUY_SELL_SELL, STORJ/USDT,STORJ/BTC,BTC/USDT,-0.055
01-May-2022 18:14:10.384735,BUY_BUY_SELL, BTC/USDT,VEN/BTC,VEN/USDT,-100.0
01-May-2022 18:14:13.272027,BUY_SELL_SELL, VEN/USDT,VEN/BTC,BTC/USDT,-100.0
01-May-2022 18:14:16.159890,BUY_BUY_SELL, BTC/USDT,KMD/BTC,KMD/USDT,-0.006
01-May-2022 18:14:21.856696,BUY_SELL_SELL, KMD/USDT,KMD/BTC,BTC/USDT,-0.123
01-May-2022 18:14:25.737463,BUY_BUY_SELL, BTC/USDT,NULS/BTC,NULS/USDT,-0.186
01-May-2022 18:14:30.725246,BUY_SELL_SELL, NULS/USDT,NULS/BTC,BTC/USDT,0.008
01-May-2022 18:14:33.619680,BUY_BUY_SELL, BTC/USDT,XMR/BTC,XMR/USDT,-0.053
01-May-2022 18:14:36.759044,BUY_SELL_SELL, XMR/USDT,XMR/BTC,BTC/USDT,0.035
01-May-2022 18:14:39.632759,BUY_BUY_SELL, BTC/USDT,BAT/BTC,BAT/USDT,-0.09
01-May-2022 18:14:43.470706,BUY_SELL_SELL, BAT/USDT,BAT/BTC,BTC/USDT,-0.134
01-May-2022 18:14:46.353550,BUY_BUY_SELL, BTC/USDT,GXS/BTC,GXS/USDT,-100.0
01-May-2022 18:14:49.252714,BUY_SELL_SELL, GXS/USDT,GXS/BTC,BTC/USDT,-100.0
01-May-2022 18:14:52.173225,BUY_BUY_SELL, BTC/USDT,BTS/BTC,BTS/USDT,-1.201
01-May-2022 18:14:55.047261,BUY_SELL_SELL, BTS/USDT,BTS/BTC,BTC/USDT,-0.712
01-May-2022 18:14:58.857574,BUY_BUY_SELL, BTC/USDT,XZC/BTC,XZC/USDT,-100.0
01-May-2022 18:15:01.749798,BUY_SELL_SELL, XZC/USDT,XZC/BTC,BTC/USDT,-100.0
01-May-2022 18:15:04.670481,BUY_BUY_SELL, BTC/USDT,LSK/BTC,LSK/USDT,-0.293
01-May-2022 18:15:07.550067,BUY_SELL_SELL, LSK/USDT,LSK/BTC,BTC/USDT,0.119
01-May-2022 18:15:10.431907,BUY_BUY_SELL, BTC/USDT,MANA/BTC,MANA/USDT,-0.085
01-May-2022 18:15:13.327060,BUY_SELL_SELL, MANA/USDT,MANA/BTC,BTC/USDT,0.034
01-May-2022 18:15:16.218204,BUY_BUY_SELL, BTC/USDT,ADX/BTC,ADX/USDT,-0.216
01-May-2022 18:15:19.124209,BUY_SELL_SELL, ADX/USDT,ADX/BTC,BTC/USDT,0.101
01-May-2022 18:15:22.965524,BUY_BUY_SELL, BTC/USDT,ADA/BTC,ADA/USDT,-0.02
01-May-2022 18:15:25.935162,BUY_SELL_SELL, ADA/USDT,ADA/BTC,BTC/USDT,-0.007
01-May-2022 18:15:29.810248,BUY_BUY_SELL, BTC/USDT,XLM/BTC,XLM/USDT,-0.311
01-May-2022 18:15:33.937910,BUY_SELL_SELL, XLM/USDT,XLM/BTC,BTC/USDT,0.049
01-May-2022 18:15:36.823694,BUY_BUY_SELL, BTC/USDT,LEND/BTC,LEND/USDT,-100.0
01-May-2022 18:15:40.908295,BUY_SELL_SELL, LEND/USDT,LEND/BTC,BTC/USDT,-100.0
01-May-2022 18:15:43.820106,BUY_BUY_SELL, BTC/USDT,WAVES/BTC,WAVES/USDT,-0.099
01-May-2022 18:15:46.725259,BUY_SELL_SELL, WAVES/USDT,WAVES/BTC,BTC/USDT,0.001
01-May-2022 18:15:50.533095,BUY_BUY_SELL, BTC/USDT,GTO/BTC,GTO/USDT,-0.469
01-May-2022 18:15:53.418922,BUY_SELL_SELL, GTO/USDT,GTO/BTC,BTC/USDT,-0.701
01-May-2022 18:15:56.298156,BUY_BUY_SELL, BTC/USDT,ICX/BTC,ICX/USDT,-0.338
01-May-2022 18:15:59.210328,BUY_SELL_SELL, ICX/USDT,ICX/BTC,BTC/USDT,0.037
01-May-2022 18:16:02.111215,BUY_BUY_SELL, BTC/USDT,ELF/BTC,ELF/USDT,-0.414
01-May-2022 18:16:05.972115,BUY_SELL_SELL, ELF/USDT,ELF/BTC,BTC/USDT,-0.005
01-May-2022 18:16:08.932609,BUY_BUY_SELL, BTC/USDT,AION/BTC,AION/USDT,-0.152
01-May-2022 18:16:11.842745,BUY_SELL_SELL, AION/USDT,AION/BTC,BTC/USDT,-0.384
01-May-2022 18:16:14.719475,BUY_BUY_SELL, BTC/USDT,RLC/BTC,RLC/USDT,-0.032
01-May-2022 18:16:18.532272,BUY_SELL_SELL, RLC/USDT,RLC/BTC,BTC/USDT,-0.064
01-May-2022 18:16:22.688330,BUY_BUY_SELL, BTC/USDT,IOST/BTC,IOST/USDT,-0.524
01-May-2022 18:16:25.854168,BUY_SELL_SELL, IOST/USDT,IOST/BTC,BTC/USDT,-1.181
01-May-2022 18:16:28.760622,BUY_BUY_SELL, BTC/USDT,STEEM/BTC,STEEM/USDT,-0.262
01-May-2022 18:16:31.678418,BUY_SELL_SELL, STEEM/USDT,STEEM/BTC,BTC/USDT,-0.099
01-May-2022 18:16:34.562735,BUY_BUY_SELL, BTC/USDT,NANO/BTC,NANO/USDT,-100.0
01-May-2022 18:16:39.336993,BUY_SELL_SELL, NANO/USDT,NANO/BTC,BTC/USDT,-100.0
