USDT/BNB/SUSHI,10-May-2022 00:30:03.630564,BUY_BUY_SELL, BNB/USDT, 309.2, 100,SUSHI/BNB, 0.00596, 0.32309185, SUSHI/USDT, 1.848, 54.15583191,100, 99.97989739, False,-0.32074785232543945
USDT/BNB/SUSHI,10-May-2022 00:30:03.938094,BUY_SELL_SELL, SUSHI/USDT, 1.847, 16.7520425,SUSHI/BNB, 0.00598, 9.069866000000001, BNB/USDT, 309.3, 0.05418356,16.7520425, 16.74221613, False,-0.30553627014160156
USDT/BNB/BURGER,10-May-2022 00:30:09.028807,BUY_BUY_SELL, BNB/USDT, 309.4, 100,BURGER/BNB, 0.00259, 0.322883, BURGER/USDT, 0.807, 124.54058572,100, 100.40374843, True,-0.3316795825958252
USDT/BNB/BURGER,10-May-2022 00:30:09.346133,BUY_SELL_SELL, BURGER/USDT, 0.806, 19.39048605,BURGER/BNB, 0.00261, 24.057675, BNB/USDT, 309.5, 0.06272774,19.39048605, 19.39482129, False,-0.31511831283569336
USDT/BNB/ICP,10-May-2022 00:30:16.674206,BUY_BUY_SELL, BNB/USDT, 309.4, 100,ICP/BNB, 0.034, 0.322883, ICP/USDT, 10.55, 9.48706226,100, 99.98841833, False,-0.3148963451385498
USDT/BNB/ICP,10-May-2022 00:30:16.987153,BUY_SELL_SELL, ICP/USDT, 10.54, 100,ICP/BNB, 0.0341, 9.47817836, BNB/USDT, 309.5, 0.32288267,100, 99.83225417, False,-0.31098437309265137
USDT/BNB/ATA,10-May-2022 00:30:20.021582,BUY_BUY_SELL, BNB/USDT, 309.4, 45.1773504,ATA/BNB, 0.00075, 0.146016, ATA/USDT, 0.234, 194.68800000000002,45.1773504, 45.51143501, True,-0.38520216941833496
USDT/BNB/ATA,10-May-2022 00:30:20.351339,BUY_SELL_SELL, ATA/USDT, 0.2338, 1.4629544,ATA/BNB, 0.000758, 6.25729, BNB/USDT, 309.5, 0.00473829,1.4629544, 1.46503426, False,-0.32776379585266113
USDT/BNB/FLOW,10-May-2022 00:30:24.606749,BUY_BUY_SELL, BNB/USDT, 309.4, 100,FLOW/BNB, 0.01174, 0.322883, FLOW/USDT, 3.64, 27.47530809,100, 99.91011133, False,-0.31200504302978516
USDT/BNB/FLOW,10-May-2022 00:30:24.919458,BUY_SELL_SELL, FLOW/USDT, 3.63, 19.0140126,FLOW/BNB, 0.0118, 5.23802, BNB/USDT, 309.5, 0.06174683,19.0140126, 19.09153325, True,-0.3123459815979004
USDT/BNB/ALICE,10-May-2022 00:30:45.907045,BUY_BUY_SELL, BNB/USDT, 310.0, 100,ALICE/BNB, 0.01244, 0.32225807, ALICE/USDT, 3.87, 25.87908456,100, 100.05190519, True,-0.3055262565612793
USDT/BNB/ALICE,10-May-2022 00:30:46.216933,BUY_SELL_SELL, ALICE/USDT, 3.86, 28.05945168,ALICE/BNB, 0.01248, 7.269288, BNB/USDT, 310.1, 0.09062999,28.05945168, 28.07625554, True,-0.3092916011810303
USDT/BNB/PEOPLE,10-May-2022 00:30:51.386984,BUY_BUY_SELL, BNB/USDT, 310.0, 100,PEOPLE/BNB, 0.0001001, 0.32225807, PEOPLE/USDT, 0.0312, 3216.14197732,100, 100.24328606, True,-0.32677793502807617
USDT/BNB/PEOPLE,10-May-2022 00:30:51.706080,BUY_SELL_SELL, PEOPLE/USDT, 0.0311, 1.01889402,PEOPLE/BNB, 0.0001015, 32.7618655, BNB/USDT, 310.1, 0.003322,1.01889402, 1.02912205, True,-0.3172152042388916
USDT/BNB/IDEX,10-May-2022 00:30:53.323601,BUY_BUY_SELL, BNB/USDT, 310.0, 12.26701,IDEX/BNB, 0.0002906, 0.039571, IDEX/USDT, 0.09078, 136.17,12.26701, 12.34915109, True,-0.33831286430358887
USDT/BNB/IDEX,10-May-2022 00:30:53.661368,BUY_SELL_SELL, IDEX/USDT, 0.0905, 1.49515636,IDEX/BNB, 0.0002949, 16.52106474, BNB/USDT, 310.1, 0.00486719,1.49515636, 1.5078063, True,-0.3336617946624756
USDT/BNB/APE,10-May-2022 00:30:58.817700,BUY_BUY_SELL, BNB/USDT, 310.2, 100,APE/BNB, 0.02942, 0.32205029, APE/USDT, 9.1521, 10.93569816,100, 99.98451853, False,-0.3170738220214844
USDT/BNB/APE,10-May-2022 00:30:59.152834,BUY_SELL_SELL, APE/USDT, 9.15, 65.16897912,APE/BNB, 0.0296, 7.1222928, BNB/USDT, 310.3, 0.21060905,65.16897912, 65.28663623, True,-0.3331761360168457
USDT/XRP/TRX,10-May-2022 00:31:03.191665,BUY_BUY_SELL, XRP/USDT, 0.5079, 38.53263827,TRX/XRP, 0.1498, 75.8665845, TRX/USDT, 0.07625, 506.4525,38.53263827, 38.57838612, True,-0.32993221282958984
USDT/XRP/TRX,10-May-2022 00:31:03.524956,BUY_SELL_SELL, TRX/USDT, 0.07624, 90.05821372,TRX/XRP, 0.14999, 1181.246245, XRP/USDT, 0.508, 176.99794917,90.05821372, 89.82504322, False,-0.3312954902648926
